Nr,Kategorie,Szene,Für,Bild-Prompt,"Video-Prompt (Image-to-Video, 5 Sek)",Format
86,Natur & Outdoor,Sternenhimmel-Staunen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a warm down jacket with a headlamp off around the neck, wonder-struck expression, natural skin. [Action]: lying on a blanket on a hill, hands behind the head, gazing at the milky way. [Environment]: clear night sky with dense stars over a dark ridge, faint meteor streak. [Cinematography]: top-down close shot on the face, stars reflected in the eyes, 9:16. [Lighting/Style]: starlight with faint blue ambient, infinite-wonder mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Stars twinkle subtly as the eyes wander across the sky, a breath fogging briefly, a shooting star passing, static camera, awe motion, face stays consistent and stable, no morphing.",9:16
87,Fashion & Editorial,Trenchcoat im Wind,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a camel trench coat over monochrome layers, intense fashion gaze, natural skin. [Action]: standing on a windswept plaza, coat flying open dramatically, stance wide. [Environment]: brutalist concrete plaza, minimal lines, empty space around. [Cinematography]: full-body frontal shot, low angle, negative space composition, 9:16. [Lighting/Style]: overcast soft box light, high-fashion editorial mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The coat billows in gusts as the person holds the gaze steadily, hair moving, fabric snapping softly, slow push-in, powerful motion, face stays consistent and stable, no morphing.",9:16
88,Fashion & Editorial,Studio-Farbwand,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a bold monochrome outfit against a contrasting seamless, confident direct gaze, natural skin. [Action]: posing with one shoulder dropped, hand loosely at the collar, chin slightly lifted. [Environment]: studio seamless backdrop in saturated color, single visible softbox edge. [Cinematography]: chest-up shot, centered, crisp studio sharpness, 9:16. [Lighting/Style]: hard key with soft fill, bold campaign mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person shifts the pose subtly between micro-poses, fabric settling, eyes locked to the lens, static camera, editorial motion, face stays consistent and stable, no morphing.",9:16
89,Fashion & Editorial,Treppenhaus-Marmor,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a flowing evening dress with a thigh-high slit, poised elegant expression, natural skin. [Action]: descending a grand marble staircase, one hand gliding on the balustrade. [Environment]: historic marble staircase, tall windows, dust in the light shafts. [Cinematography]: wide low shot from below the stairs, dress trailing, 9:16. [Lighting/Style]: cathedral-soft window light, timeless glamour mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The dress flows down the steps as the person descends slowly, fabric rippling, dust glittering in the shafts, slow tilt up, graceful motion, face stays consistent and stable, no morphing.",9:16
90,Fashion & Editorial,Anzug & Manschetten,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a midnight-blue tailored suit, adjusting a cufflink, composed sharp expression, natural skin. [Action]: fastening the cufflink at the wrist, jacket sleeve pulled slightly. [Environment]: dark dressing room with warm spot, suit rack blurred behind. [Cinematography]: close chest-up shot, hands and cuff razor sharp, 9:16. [Lighting/Style]: single warm spot with deep falloff, tailored precision mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The fingers close the cufflink deliberately, the jacket settles as the arms lower, the gaze lifts to the camera, slow push-in, refined motion, face stays consistent and stable, no morphing.",9:16
91,Fashion & Editorial,Regenschirm-Noir,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a black turtleneck under a long coat, mysterious calm gaze, natural skin. [Action]: holding a black umbrella in falling rain, face half-lit beneath it. [Environment]: night street with a single lamp, rain needles visible in the light. [Cinematography]: chest-up shot, umbrella framing, rim light from the lamp, 9:16. [Lighting/Style]: noir single-source light through rain, mystery editorial mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Rain streaks through the lamp light as drops fall from the umbrella edge, the person tilts the umbrella slightly revealing the eyes, slow push-in, noir motion, face stays consistent and stable, no morphing.",9:16
92,Fashion & Editorial,Rolltreppen-Symmetrie,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a structured oversized blazer, detached cool expression, natural skin. [Action]: standing still on an ascending escalator, hands folded in front. [Environment]: futuristic metro station, symmetric escalator tunnel, cold strip lights. [Cinematography]: centered frontal shot, one-point perspective tunnel, 9:16. [Lighting/Style]: cold symmetric strip lighting, futuristic vogue mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The escalator carries the person slowly upward through the tunnel, lights gliding past rhythmically, gaze fixed, static camera, hypnotic motion, face stays consistent and stable, no morphing.",9:16
93,Fashion & Editorial,Spiegel-Splitter,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in minimalist black tailoring, fragmented intense gaze, natural skin. [Action]: standing before an arrangement of broken mirror pieces, reflections multiplied. [Environment]: raw studio space, mirror shards leaning on the wall, concrete floor. [Cinematography]: shot through the shards, multiple partial reflections, 9:16. [Lighting/Style]: directional cool light with glints, art-editorial mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Reflections shift as the person turns the head slowly, light glinting across the shards, slow lateral move, artistic motion, face stays consistent and stable, no morphing.",9:16
94,Fashion & Editorial,Wüsten-Couture,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a sculptural flowing gown in sand tones, fierce serene expression, natural skin. [Action]: standing on a dune crest, gown streaming in the wind like a flag. [Environment]: endless sand dunes, ripple textures, heat shimmer at the horizon. [Cinematography]: wide full-body shot, diagonal dune line composition, 9:16. [Lighting/Style]: low harsh desert sun, monumental fashion mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The gown streams and snaps in the wind as sand drifts off the crest, the person stands immovable, slow orbit, monumental motion, face stays consistent and stable, no morphing.",9:16
95,Fashion & Editorial,Leder & Motorrad,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a black leather jacket over a white tee, effortless rebel expression, natural skin. [Action]: leaning against a vintage motorcycle, arms crossed, one boot on the footpeg. [Environment]: empty industrial street, garage doors, late sun flaring off chrome. [Cinematography]: three-quarter full shot, chrome flare accents, 9:16. [Lighting/Style]: hard late sun with chrome flares, rebel classic mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Heat shimmer rises from the asphalt as the person shifts the stance and looks down the street, chrome glinting, slow push-in, cool motion, face stays consistent and stable, no morphing.",9:16
96,Fashion & Editorial,Archiv-Galerie,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in quiet-luxury knitwear and tailored trousers, contemplative refined expression, natural skin. [Action]: walking slowly past large abstract paintings, hands clasped behind the back. [Environment]: white gallery hall, oversized canvases, polished concrete floor. [Cinematography]: wide side tracking framing, art as backdrop blocks, 9:16. [Lighting/Style]: even museum light, cultured minimal mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person strolls slowly past the canvases, pausing before one, reflection gliding on the floor, slow pan, composed motion, face stays consistent and stable, no morphing.",9:16
97,Alltag & Candid,Wocheneinkauf-Balance,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in everyday jeans and a tee under an open jacket, slightly overwhelmed funny expression, natural skin. [Action]: balancing two full paper grocery bags while fishing for keys at a door. [Environment]: apartment building entrance, bike leaning nearby, evening approaching. [Cinematography]: three-quarter shot, bags dominating the frame, 9:16. [Lighting/Style]: soft dusk light, relatable everyday-hero mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","A baguette tips slowly in the bag as the person juggles the keys and catches it, exhaling in relief, static camera, comedic motion, face stays consistent and stable, no morphing.",9:16
98,Alltag & Candid,Bus-Fenster-Gedanken,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a casual sweater with earbuds in, lost-in-thought expression, natural skin. [Action]: resting the head lightly against the bus window, watching the city pass. [Environment]: bus interior, condensation edge on the glass, shops sliding by outside. [Cinematography]: close side shot, window reflections layering the face, 9:16. [Lighting/Style]: overcast soft daylight, everyday melancholy mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The city glides by in the glass as the person blinks slowly and shifts, a drop of condensation running, static camera, introspective motion, face stays consistent and stable, no morphing.",9:16
99,Alltag & Candid,Wäsche-Frust & Lachen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in mismatched laundry-day clothes, laughing at the chaos, natural skin. [Action]: holding up a shrunken sweater from the laundry basket, mid-laugh. [Environment]: small laundry corner, machine open, colorful clothes pile. [Cinematography]: waist-up shot, sweater in frame center, 9:16. [Lighting/Style]: plain bright home light, self-irony mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The tiny sweater dangles as the person laughs and shakes the head, tossing it onto the pile, static camera, humorous motion, face stays consistent and stable, no morphing.",9:16
100,Alltag & Candid,Paket-Türöffnung,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in comfy home clothes, giddy excited expression, natural skin. [Action]: opening the door and receiving a long-awaited package with both hands. [Environment]: apartment doorway, courier arm handing the box, hallway light. [Cinematography]: inside-the-flat shot towards the door, box in focus, 9:16. [Lighting/Style]: neutral hallway light, small-joy mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The box passes into eager hands, the person hugs it briefly and pushes the door shut with a foot, static camera, delightful motion, face stays consistent and stable, no morphing.",9:16
101,Alltag & Candid,Regenschirm vergessen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in office casual soaked at the shoulders, laughing despite it, natural skin. [Action]: running the last steps to a shelter, newspaper held over the head. [Environment]: sudden downpour on a shopping street, others dashing blurred. [Cinematography]: tracking three-quarter shot, rain visible against dark shopfront, 9:16. [Lighting/Style]: stormy daylight, caught-in-the-rain mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Rain hammers as the person ducks under the awning, shakes off water and laughs, drops flying, static camera, lively motion, face stays consistent and stable, no morphing.",9:16
102,Alltag & Candid,Hund zieht zur Bäckerei,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a weekend outfit with a leash in hand, amused resigned expression, natural skin. [Action]: being pulled by an eager beagle towards a bakery door. [Environment]: morning street with bakery window full of pastries, warm light spilling out. [Cinematography]: full-body side shot, leash line leading the eye, 9:16. [Lighting/Style]: warm bakery glow in cool morning, charming everyday mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The dog pulls with wagging tail as the person leans back laughing and gives in, steps following, static camera, playful motion, face stays consistent and stable, no morphing.",9:16
103,Alltag & Candid,Fahrkarten-Sprint,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a commuter outfit with a messenger bag, determined comic urgency, natural skin. [Action]: running along a platform towards a closing train door, bag flying. [Environment]: train platform, departure board blurred, train lights on. [Cinematography]: side tracking framing, motion energy, slight blur on legs, 9:16. [Lighting/Style]: cold station light, everyday-thriller mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The bag swings as the person sprints and slips through the doors just in time, exhaling dramatically, doors closing, static camera, energetic motion, face stays consistent and stable, no morphing.",9:16
104,Alltag & Candid,Spiegel-Outfit-Check,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a nearly-final outfit holding a second jacket option, critically amused expression, natural skin. [Action]: holding a jacket in front of the torso before a full-length mirror, head tilted. [Environment]: bedroom with clothes laid on the bed, warm lamp, mirror leaning on the wall. [Cinematography]: mirror-reflection full shot, both options visible, 9:16. [Lighting/Style]: warm bedroom light, getting-ready mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The jacket swaps against the torso twice as the person tilts the head and nods at the final choice, static camera, decisive motion, face stays consistent and stable, no morphing.",9:16
105,Alltag & Candid,Feierabend-Sofa-Fall,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in end-of-day clothes with the tie or hair just loosened, blissful exhausted expression, natural skin. [Action]: letting the body fall backwards onto a big sofa, arms spread. [Environment]: living room in evening light, remote and snacks on the table waiting. [Cinematography]: side shot at sofa level, fall frozen mid-drop, 9:16. [Lighting/Style]: soft warm evening light, sweet-collapse mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person drops into the cushions which puff up softly, one arm reaching lazily for the remote, static camera, satisfying motion, face stays consistent and stable, no morphing.",9:16
106,Alltag & Candid,Pflanzen-Rettung,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in weekend home clothes, apologetic hopeful expression, natural skin. [Action]: holding a droopy plant up to the light, inspecting the leaves closely. [Environment]: kitchen window area, watering can ready, plant visibly dramatic. [Cinematography]: chest-up shot, plant between face and camera, 9:16. [Lighting/Style]: clear window light, plant-parent mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","A leaf droops further as the person winces, then waters it carefully, drops darkening the soil, static camera, endearing motion, face stays consistent and stable, no morphing.",9:16
